,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925
Albertus R. Peters,na,na,na,na,na,na,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,residentia s. thomae,na,na,na,na,na,na,na,na,na,na,na
Aloisius Ragaru,na,na,na,na,na,na,collegium caesariense sancti petri,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Jacobus F Holland,na,na,na,na,na,na,degentes extra provinciam,na,degentes extra provinciam,na,na,na,na,na,na,na,na,na,na,na,na,na
Edmundus J. Young,na,na,na,na,na,na,degentes extra provinciam,degentes extra provinciam,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes D. Whitney,na,na,na,na,na,na,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium bostoniense,na,na,na,na,na,na,na
Spring Hill,na,na,na,na,na,na,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,na,degentes extra provinciam,na,na,na,na,na,na,na,na,na,degentes extra provinciam,na
Carolus J. O'Conor,na,na,na,na,na,na,na,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Harmar C. Denny,na,na,na,na,na,na,na,collegium sancti francisci xaverii,na,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na
Dionysius T. O'Sullivan,na,na,na,na,na,na,na,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Georgius E. Quinn,na,na,na,na,na,na,na,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Audenus Neeson,na,na,na,na,na,na,na,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Thomas Hallahian,na,na,na,na,na,na,na,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Eduardus J. Roche,na,na,na,na,na,na,na,collegium georgiopolitanum,collegium georgiopolitanum,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes. Rowley,na,na,na,na,na,na,na,collegium georgiopolitanum,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes B. De Schryver,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Neil N. Mckinnon,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na
Patritius S. Murphy,na,na,na,na,na,na,na,domus probationis fridericopolitana,collegium fordhamense,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na
Renatus Prieur,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus J. Holden Jacobus B. Matthews,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Thomas W. Connell,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Hermanus J. Schmidt,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Arthurus J. O'Leary,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na
Jacobus A. Kennelly,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na
L. Ricardus,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Mclaughlin Philippus M. Finegan,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Dionysius A. Mcauliffe,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes F. O'Donovan,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,residentia in insula keyser,residentia in insula keyser,collegium caesariense sancti petri,collegium philadelphiense,na,na,na,na,na,na,na
Patritius Donnelly,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Henricus Barry,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na
Augustus J. Duarte,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium maximum woodstockiense,collegium brooklyniense,residentia bostoniensis ad s. mariae,residentia bostoniensis ad s. mariae,residentia bostoniensis ad s. mariae,residentia bostoniensis ad s. mariae,residentia bostoniensis ad s. mariae
Gulielmus J. Brosnan,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Fridericus W. Heaney,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium s. crucis,collegium s. crucis,na,na,na,na,na,na,na,na,na
Georgius A. Keelan,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium bostoniense,collegium bostoniense,collegium bostoniense,schola alta bostoniensis,schola alta bostoniensis,schola alta bostoniensis,schola alta bostoniensis,schola alta bostoniensis,schola alta bostoniensis,schola alta bostoniensis,collegium bostoniense
Thomas F. White,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,residentia in insula keyser
Aloisius J. Markham,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,degentes extra provinciam,na,na,na,na,na,na,na,na,na,na,na
Georgius B. Rose,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na
Geraldus A. Dillon,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis yonkersensis,domus probationis yonkersensis,domus probationis yonkersensis,domus probationis yonkersensis,domus probationis yonkersensis,domus probationis yonkersensis,domus probationis stockbridgensis,domus probationis stockbridgensis
Gulielmus E. Doyle,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus H. Condon,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus L. Brent,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes C. Harmon,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii
Josephus P. Carney,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,residentia leonardopolitana s. aloisii,residentia leonardopolitana s. aloisii,residentia leonardopolitana s. aloisii,residentia leonardopolitana s. aloisii,residentia ridgensis sancti michaelis,residentia ridgensis sancti michaelis,residentia ridgensis sancti michaelis,residentia ridgensis sancti michaelis
Michael J. Mahony,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense
Terentius J. Shealy,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,residentia neo eboracensis kohlmann hall,residentia neo eboracensis kohlmann hall,residentia neo eboracensis kohlmann hall,residentia neo eboracensis kohlmann hall,residentia neo eboracensis kohlmann hall,residentia neo eboracensis kohlmann hall,residentia neo eboracensis kohlmann hall,residentia neo eboracensis kohlmann hall,na,na,na
Ferdinandus Steimer,na,na,na,na,na,na,na,domus probationis fridericopolitana,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium caesariense sancti petri,collegium caesariense sancti petri,collegium caesariense sancti petri,collegium caesariense sancti petri,collegium caesariense sancti petri,collegium caesariense sancti petri,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,residentia philadelphiensis ad s. josephi
Joannes J. O'Connell,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,na,collegium washingtoniense,collegium washingtoniense
Audenus Campbell,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na
Laurentius J. Bartley,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Jeremias Sullivan,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Allanus Mckinnon,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na
Joannes J. O'Keefe,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium baltimorense,na,na,na,na,na,na,na,na,na,na,na
Bernardinus B. Ousley,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na
Josephus C. Hurley,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Bath,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na
Carolus M. Jovene,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Josephus Grimmelsman,na,na,na,na,na,na,na,collegium maximum woodstockiense,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na
Martinus M. Bronsgeest,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na
Paulus Muset,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na
Dionysius Mahony,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Josephus Riordan,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Raphael Crimont,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na
Franciscus Monroe,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes A. Post,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Josephus F. Banks Josephus H. Rockwell,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Daniel Murphy,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes G. Kuhlman,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na
Josephus Gillick,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Van Ree Ludovicus E. Nicolet,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Augustinus Porta,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Bernardus J. Otting,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na
Claudius F. Roch,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus F. Mcginn,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus H. Fanning,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na
Henricus G. Huermann,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na
Joannes B. Hemann,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na
Joannes J. Fleming,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,na,residentia georgiopolitana ss. trinitatis,residentia georgiopolitana ss. trinitatis,residentia georgiopolitana ss. trinitatis
Josephus A. Raby,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na
Ludovicus E. Green,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na
Marius Leautier,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Martinus J. Hussey,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na
Martinus Punghorst,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na
Michael J. Ryan,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Robertus A. Hennemann,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Thomas J. Conners,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na
Theodorus Vorbrink,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Franciscus J. O'Neill,na,na,na,na,na,na,na,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,na,na,na,na,na,na,na,na,na,na,na
Theodolus Vachon,na,na,na,na,na,na,na,collegium bostoniense,collegium bostoniense,na,na,na,na,na,na,na,na,na,na,na,na,na
Thomas J. Cryan,na,na,na,na,na,na,na,collegium s. crucis,collegium s. crucis,collegium s. crucis,na,na,na,na,na,na,na,na,na,na,na,na
Raphael S. Dewey,na,na,na,na,na,na,na,residentia philadelphiensis ss. nominis jesu,residentia philadelphiensis ss. nominis jesu,residentia philadelphiensis ss. nominis jesu,degentes extra provinciam,na,na,na,na,na,na,na,na,na,na,na
Harmer C. Denny,na,na,na,na,na,na,na,na,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes C. Keveny,na,na,na,na,na,na,na,na,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na
L. Eugenius Ryan,na,na,na,na,na,na,na,na,collegium sancti francisci xaverii,collegium bostoniense,collegium bostoniense,na,na,na,na,na,na,na,na,na,na,na
Thomas. J. Walsh,na,na,na,na,na,na,na,na,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na,na,na
Francis Bausenwein,na,na,na,na,na,na,na,na,collegium georgiopolitanum,na,na,na,na,na,na,na,na,na,na,na,na,na
Patritius Scars,na,na,na,na,na,na,na,na,collegium georgiopolitanum,na,na,na,na,na,na,na,na,na,na,na,na,na
Paulus Smith,na,na,na,na,na,na,na,na,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis
Joannes G. Fox,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,collegium georgiopolitanum,collegium georgiopolitanum,na,na,na,na,na,na,na,na,na,na,na
Jacobus B. Matthews,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,collegium georgiopolitanum,collegium maximum woodstockiense,residentia s. ignatii,residentia s. ignatii,residentia s. ignatii,residentia s. ignatii,residentia s. ignatii,residentia s. thomae,residentia s. thomae,residentia s. thomae,residentia s. thomae,residentia s. thomae,residentia s. thomae
Ricardus Mclaughlin,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Fridericus W. Heany,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na
Franciscus C. Dillon,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,degentes extra provinciam,na,na,na,na,na,na,na,na,na,na,na
Eugenius De L. Mcdonnell,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,residentia georgiopolitana ss. trinitatis,residentia georgiopolitana ss. trinitatis,residentia georgiopolitana ss. trinitatis,na,na,na,na,na,na
Joannes P. M. Walsh,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium georgiopolitanum,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi
Joannes J. Thompkins,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,collegium buffalense,collegium buffalense
Gulielmus J. O'Gorman,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium philadelphiense,collegium philadelphiense,collegium philadelphiense,collegium philadelphiense,collegium philadelphiense,collegium philadelphiense,collegium philadelphiense,collegium philadelphiense,collegium philadelphiense,collegium philadelphiense,collegium philadelphiense
Joannes J. Lunny,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Albertus G. Brown,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,residentia philadelphiensis ad s. josephi,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,collegium philadelphiense,collegium philadelphiense,collegium philadelphiense,collegium philadelphiense
Eduardus S. Brock,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium bostoniense,collegium bostoniense,collegium bostoniense,schola alta bostoniensis,collegium fordhamense,collegium georgiopolitanum,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,collegium caesariense sancti petri,collegium caesariense sancti petri
Joannes H. Mulligan,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,domus probationis fridericopolitana,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii
Joannes J. Mcnulty,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na
Josephus N. Dinand,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,provincial,provincial,provincial,provincial,provincial,provincial,collegium s. crucis
Laurentius J. Kelly,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,residentia leonardopolitana s. aloisii,residentia leonardopolitana s. aloisii,residentia leonardopolitana s. aloisii,domus probationis yonkersensis,domus probationis yonkersensis,domus probationis yonkersensis,domus probationis yonkersensis,domus probationis yonkersensis,provincial,provincial,provincial
Mauritius E. Prendergast,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,domus probationis fridericopolitana,collegium kingstonense,collegium kingstonense,collegium kingstonense,collegium kingstonense,na,na,na,na,na,na,na
Thomas A. Becker,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis stockbridgensis
Christophorus J. Donegan,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na
Josephus J. Mclaughlin,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na
Arthurus M. Schmitz,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus H. Forbes,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na
Casparus Jockel,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,collegium s. crucis,collegium s. crucis,na,na,na,na,na,na,na,na,na,na,na
Eduardus F. Carley,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na
Antonius J. Paffe,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na
Carolus Steimer,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Franciscus X. Horwedel,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,residentia in insula keyser,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis
Audenus Thompson,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Eduardus O'Brien,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na
Thomas G. Costello,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na
Petrus Finlay,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na
Laurentius J. Kavanagh,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na
Ricardus Gore,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na
Antonius T. Rinck,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na
Emmanuel De La Moriniere,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na
Franciscus B. Klocker,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Gulielmus B. Rogers,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Henricus J. De Laak Henricus Woods,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na
Jacobus J. Corbley,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Augustus Delay,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Boschi,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na
