,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925
Joannes Flood,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na
Joannes Welsh,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Josephus Koerner,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Mathaeus O'Connor,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Michael Rogers,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na
Nicolaus Litique,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Onesymus Thibault,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Patritius Souren,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium maximum woodstockiense,collegium caesariense sancti petri,collegium caesariense sancti petri,collegium caesariense sancti petri,collegium caesariense sancti petri,residentia philadelphiensis ss. nominis jesu,residentia philadelphiensis ss. nominis jesu,collegium baltimorense,collegium baltimorense,na,na,na,na,na,na,na,na,na,na,na
Senanus Mangan,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na
Theodulus Vachon,collegium sancti francisci xaverii,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,na,na,collegium bostoniense,collegium bostoniense,na,na,na,na,na,na,na,na,na,na,na
Thomas Gormley,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na
Thomas Mcshane,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,residentia philadelphiensis ss. nominis jesu,residentia philadelphiensis ss. nominis jesu,residentia philadelphiensis ss. nominis jesu,residentia philadelphiensis ss. nominis jesu,residentia philadelphiensis ss. nominis jesu,residentia philadelphiensis ss. nominis jesu,collegium philadelphiense,na,na,na,na,na,na,na,na,na,na,na
Timotheus Mcnamara,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Frid. Gulielmus Gockeln,collegium fordhamense,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Nilus N. Mckinnon,collegium fordhamense,collegium caesariense sancti petri,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Fitzpatrick,collegium fordhamense,residentia bostoniensis ad s. mariae,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Ludovicus Jouin,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na
Michael P. Costin,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium bostoniense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Michael Driscol,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Nicolaus Hanrahan,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,residentia trojana ad s. josephi,residentia trojana ad s. josephi,na,na,na,na,na,na,na,na,na,na,na
Patritius O'Reilly,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium bostoniense,collegium bostoniense,collegium caesariense sancti petri,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na
Petrus O. Racicot,collegium fordhamense,na,na,provincial,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Thomas J. Freeman,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Mcauley,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Alfredus Brosnan,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus Cornell,collegium fordhamense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium washingtoniense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Franciscus Gunn,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Josephus Zwinge,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium georgiopolitanum,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,domus probationis fridericopolitana,collegium fordhamense,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium baltimorense,na,na,na,na
Carolus Williams,collegium fordhamense,na,collegium baltimorense,collegium baltimorense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Keveney,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Daniel Mcelhinney,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Franciscus X. Mcgovern,collegium fordhamense,na,na,collegium fordhamense,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,residentia trojana ad s. josephi,collegium sancti francisci xaverii,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Henricus Kavanagh,collegium fordhamense,collegium fordhamense,collegium fordhamense,residentia bostoniensis ad s. mariae,residentia bostoniensis ad s. mariae,domus probationis fridericopolitana,residentia bostoniensis ad s. mariae,residentia philadelphiensis ad s. josephi,residentia providentiana ad s. joseph,residentia bostoniensis ad s. mariae,residentia bostoniensis ad s. mariae,na,na,na,na,na,na,na,na,na,na,na
Jeremias Coleman,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Scully,collegium fordhamense,collegium fordhamense,collegium georgiopolitanum,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium caesariense sancti petri,domus probationis fridericopolitana,collegium fordhamense,collegium fordhamense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium sancti francisci xaverii,na,na,na,na,na,na,na
Thomas Wallace,collegium fordhamense,na,domus probationis fridericopolitana,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Antonius Dooher,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na
Dionysius Hogan,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium fordhamense,collegium fordhamense,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na
Fridericus De Pooter,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na,na
Fridolinus Haefele,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,na,na,na,collegium fordhamense,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na
Gulielmus Hennen,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na
Henricus Mccabe,collegium fordhamense,collegium fordhamense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Jacobus Early,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na
Jacobus Egan,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na
Jacobus Mallen,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na
Joannes Quin,domus probationis manresana,collegium washingtoniense,collegium washingtoniense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Sheerin,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,residentia trojana ad s. josephi,residentia trojana ad s. josephi,collegium caesariense sancti petri,collegium caesariense sancti petri,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,na,na,na,na,na,na
Josephus Bradley,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na
Josephus Byrne,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium baltimorense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,na,na,na,na,na,na,na,na,na
Julius Mace,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,degentes extra provinciam,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na,na
Leo Kutter,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na
Ludovicus Kaiser,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,na,na,na,na,na,na,na
Matthaeus Gilshannen,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Mauritius Roach,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium georgiopolitanum,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na
Nicholaus Paradise,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Patritius Corrigan,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na
Patritius Muldoon,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,residentia ad s. ignatii,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na
Patritius Smith,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na
Philippus Ledore,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Thomas Hallahan,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,na,collegium fordhamense,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na
Joannes Treanor,residentia neo eboracensis ad s. laurentii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
David Walker,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
