First,Middle,Last
Joannes,H.,Finnegan
Ricardus,A.,Fleming
Georgius,E.,Kelly.
Henricus,W.,McLoughlin
Jacobus,I.,Moakley
Petrus,J.,O'Carroll
Justinus,J.,Ooghe
Michael,A.,Purtell
Gulielmus,F. X.,Sullivan
Joannes,D.,Whitney
Josephus,I.,Ziegler
Josephus,,Zwinge
Jacobus,J.,Becker
Jacobus,C.,Flood
Ludovicus,,Halliwell
Joannes,H.,Murray.
Gulielmus,A.,Nevin
Franciscus,W.,O'Hara
Gualterus,G.,Summers
Joannes,J.,Duffy
Joannes,A.,Fortescue
Joannes,H.,Hammill
Jacobus,J.,McGrogan
Thomas,,McShane
Stanislaus,,Siczko
Thomas,A.,Becker
Eduardus,S.,Brock
Gustavus,,Caballero
Alphonsus,,Charlier
Joannes,G.,Coveney
Georgius,,de Butler
Gulielmus,,Devlin
Joannes,F.,Fitzpatrick
Matthaeus,L.,Fortier
Joannes,J.,Geoghan
Jacobus,A.,Gillespie
Joannes,E.,Hurley
Michael,,Jessup
Joannes,S.,Keating
Carolus,E.,Lane
Henricus,A.,Leary
Jacobus,A.,McGivney
Jacobus,F.,Mellyn
Thomas,H.,Miley
Jacobus,J.,O'Connor
Timotheus,,O'Leary
Joannes,F.,Quirk
Gulielmus,J.,Stanton
Josephus,F.,Beglan
Joannes,J.,Bernard
Josephus,A.,Dougherty
Franciscus,X.,Doyle
Allen,F.,Duggin
Joannes,H.,Fasy
Gulielmus,H. A.,Hannas
Josephus,R.,Hurley
Gulielmus,F.,Jordan
Albertus,H.,Klocke
Eduardus,P.,Lamb
Hugo,A.,Leckie
Josephus,T.,Lowry
Gulielmus,F.,McFadden
Joannes,J.,Monahan
Franciscus,F.,Murphy
Gulielmus,K.,Murphy
Gulielmus,E.,Neagle
Carolus,E.,Schmidt
Henricus,P.,Wennerberg
Josephus,,Erhard
Josephus,,Gazda
Jacobus,A.,Leddy
Ignatius,,Novik
Thomas,P.,O'Donnell
Franciscus,C.,Schroen
Jacobus,J.,Bric
Patritius,J.,Casey
Jacobus,M.,Cotter
Gulielmus,R.,Cowardin
Franciscus,B.,Goeding
Patritius,F.,McCarthy
Carolus,J.,McIntyre
Joannes,A.,Moore
Stanislaus,,Palermo
Gulielmus,J.,Tynan
Antonius,,Beckmann
Thomas,,Hogue
Henricus,J.,Rache
Joannes,P. M.,Schleuter
Joannes,B.,Schmandt
Michael,,Hogan
Hermannus,J.,Adelman
Josephus,G.,Causey
Gulielmus,F.,Clark
Patritius,J.,Cormican
Joannes,E.,McQuade.
Joannes,A.,Morgan
Cornelius,A.,Murphy.
Joannes,J.,Neary.
Joannes,J.,O'Connor
Thomas,A.,Reid
Joannes,A.,Stedler
Redmond,J.,Walsh
Joannes,J.,Brown
Patritius,J.,McHugh
Joannes,X.,Regan
Carolus,J.,Robinson
Joannes,B.,Ryan
Thomas,A.,Shanahan
Josephus,F.,Sullivan
Aloisius,M.,Thibbitts
Patritius,,Anglin
Daniel,J. R.,Culkin
Jacobus,,Marley
Joannes,G.,Hacker
Hermannus,J.,Maeckel
Jacobus,T.,McCormick
Henricus,A.,McGarvey
Josephus,H.,Richards
Paulus,V.,Rouke
Franciscus,X.,Sindele
Moorhouse,I. X.,Millar
Ricardus,B.,Schmitt
Audoenus,,Campbell
Gulielmus,J.,Luddy
Ludovicus,G.,Bonvin
Fridericus,J.,Bunse
Philippus,H.,Burkett
Bernardus,C.,Cohausz
Franciscus,X.,Delhez
Arthurus,S.,Hart
Joannes,,Jutz
Raphael,V.,O'Connell
Leo,,Osterrath
Henricus,,Wolff
Josephus,P.,Gorayeb
Georgius,G.,Hogan
Aloisius,R.,Mack
Josephus,B.,Morning
Thomas,J. M.,Quinn
Thomas,A.,Ward
Henricus,J.,Wiesel
Joannes,B.,Gerber
Georgius,,Haug
Georgius,,Hermann
Georgius,,Sandheinrich
Petrus,,Schapertons
Philippus,,Schneider
Josephus,,Stamen
Franciscus,,Marchl
Henricus,,Nelles
Josephus,M.,Offergeld
Gustavus,,Reinsch
Gulielmus,,Brombach
Rudolphus,,Kiel
Georgius,,Metzger
Franciscus,X.,Aigner
Thomas,J.,Barrett
Josephus,,Busam
Patritius,M.,Collins
Thomas,F.,Graham
Joannes,B.,Kelleher
Josephus,G.,Kirchmyer
Milesius,A.,McLoughlin
Michael,J.,O'Shea
Robertus,F. X.,Reynolds
Georgius,W.,Wall
Thomas,G.,Wallace
Gulielmus,R.,Crawford
Franciscus,J.,Driscoll
Josephus,A.,Fortescue
Jacobus,A.,Harmon
Stephanus,A.,Koen
Carolus,H.,Mahan
Paulus,F.,Parsons
Adolphus,,Alekszunas
Joannes,F.,McTiernan
Stephanus,,Power
Ferdinandus,,Steimer
Cajetanus,,Bertolero
Edmundus,J.,Burke
Jacobus,T.,Casey
Joannes,J.,Cassidy
Joannes,A.,Cotter
Joannes,H.,Farley
Hugo,A.,Gaynor
Aloisius,J.,Guiney
Joannes,C.,Hart
Audoenus,A.,Hill
Robertus,H.,Johnson
Josephus,T.,Keating
Joannes,B.,Kreidler
Michael,J.,Mahony
Ricardus,,Martin
Carolus,J.,Mullaly
Joannes,F. X.,Murphy
Franciscus,D.,O'Laughlin
Michael,J.,Tully
Henricus,C.,Avery
Carolus,J.,Dean
Albertus,M.,Ewing
Ludovicus,J.,Gallagher
Vincentius,L.,Keelan
Josephus,M. A.,Kelly.
Jacobus,M.,Leavey
Joannes,A.,Mattimore
Eduardus,M. A.,Morning
Josephus,A.,Mulry
Daniel,J.,Quigley
Gulielmus,C.,Repetti
Georgius,F.,Strohaver
Julius,V.,Alekszunas
Leo,M.,Cavanaugh.
Gulielmus,F.,Lawton
Joannes,V.,Mahony
Georgius,,Mansell
Daniel,,McCarthy
Joannes,,O'Neill
Nicolaus,,Paradise
Joannes,H.,Spiess
Daniel,F.,Sullivan
Henricus,,Wirtz
Petrus,,Archer
Jacobus,B.,Becker
Cyrillus,,Briones
Aloisius,P.,Brosnan
Joannes,A.,Conway
Joannes,B.,Creeden
Eduardus,I.,Devitt
Thomas,A.,Emmet
Thomas,I.,Gasson
Joannes,L.,Gipprich
Hugo,J.,McNulty
Joannes,F. X.,O'Conor
Henricus,J.,Shandelle
Gulielmus,T.,Tallon
Franciscus,A.,Tondorf
Joannes,J.,Toohey
Franciscus,X.,Byrnes
Jacobus,H.,Dolan
Leo,A.,Dore
Franciscus,L.,Fenwick
Gulielmus,H.,Graham
Georgius,E.,Hanlon
Carolus,G. I.,Herzog
Gulielmus,G.,Logue
Franciscus,A.,McQuade
Arthurus,A.,O'Leary
Jacobus,A.,Walsh
Martinus,L.,Zillig
Jeremias,J.,Crough
Ricardus,F.,Furlong
Martinus,,Gallagher
Virgilius,L.,Golden
Antonius,J.,Herr
Fridericus,,Lang
Jacobus,,McCloskey
Michael,,McHugh
Ferdinandus,,Picone
Carolus,J.,Ramage
Jacobus,,Slicer
Patritius,,Traynor
Patritius,H.,Brennan
Eduardus,J.,Magrath
Joannes,F.,O'Donovan
Robertus,,Dockery
Vincentius,,Gulla
Joannes,W.,Casey
Gulielmus,F.,Cunningham
Philippus,J.,Debold.
Josephus,A.,Gorman
Joannes,,La Farge
Terentius,J.,Boyle
Josephus,P.,Carney
Joannes,E.,Condon
